id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier,סוג_מגן,צבע_דומיננטי,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,color_1,color_2,color_3,color_4,color_5,lat,lng
hof-ashkelon,מועצה אזורית חוף-אשקלון,Hof Ashkelon,regional,south,jewish,found,yes,no,19295,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,34.55
jordan-valley,מועצה אזורית בקעת-הירדן,Jordan Valley,regional,judea-samaria,jewish,found,yes,no,10000,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,35.45
megilot-yam-hamelah,מועצה אזורית מגילות-ים-המלח,Megilot Yam HaMelah,regional,judea-samaria,jewish,found,no,yes,1500,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,35.4
modiin-region,מועצה אזורית חבל-מודיעין,Modiin Region,regional,center,jewish,found,no,yes,30000,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,35.0
neve-midbar,נווה-מדבר,Neve Midbar,regional,south,bedouin,found,yes,no,13309,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,35.3
sdot-negev,מועצה אזורית שדות-נגב,Sdot Negev,regional,south,jewish,found,yes,no,11062,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.45,34.6167
shaar-hanegev,מועצה אזורית שער-הנגב,Shaar HaNegev,regional,south,jewish,found,no,no,9071,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5167,34.6167
shaar-hagalil,מועצה אזורית שער-הגליל,Shaar Hagalil,regional,north,jewish,found,yes,no,5000,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,35.55
emek-lod,מועצה אזורית עמק לוד,Emek Lod,regional,center,jewish,obsolete,no,no,15987,מועצה אזורית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9516,34.8965
givat-ada,מועצה מקומית גבעת עדה,Giv'at Ada,local,haifa,jewish,obsolete,no,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.535,34.955
binyamina-old,מועצה מקומית בנימינה,Binyamina (old COA),local,haifa,jewish,obsolete,no,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5228,34.944
jatt,ג'ת,Jatt,local,center,arab,found,yes,no,10000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3622,35.0453
miilya,מעיליא,Mi'ilya,local,north,arab,found,yes,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0444,35.2608
yesod-hamaala,יסוד המעלה,Yesod HaMaala,local,north,jewish,found,yes,no,2000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0567,35.5939
zemer,זמר,Zemer,local,center,arab,found,yes,no,7360,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3833,35.0
zur-hadassa,צור הדסה,Zur Hadassa,local,jerusalem,jewish,found,yes,no,6000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7083,35.0917
bana,בענה,Bana,local,north,arab,found,yes,no,8536,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9353,35.2394
majd-al-krum,מג'ד אל-כרום,Majd al-Krum,local,north,arab,found,yes,no,15630,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9314,35.2389
shaarei-tikva,שערי תקווה,Shaarei Tikva,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1167,34.9833
neve-monosson,נווה מונוסון,Neve Monosson,local,tel-aviv,jewish,found,yes,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0167,34.8833
maccabim-reut,מכבים-רעות,Maccabim-Reut,local,center,jewish,obsolete,no,no,,מועצה מקומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8913,34.9996
